run_name,dataset,detector,threshold,n,n_fail,base_rate,aurc,flagged,k,recall,precision,residual_risk
lora_seed0,cbis_ddsm,iou_pred,0.5,362,270,0.7458563535911602,0.7873153055277979,0.3,109,0.28888888888888886,0.7155963302752294,0.758893280632411
lora_seed0,cbis_ddsm,iou_pred,0.5,362,270,0.7458563535911602,0.7873153055277979,0.5,181,0.4666666666666667,0.6961325966850829,0.7955801104972375
vpt_deep_seed0,busi,drift,0.5,647,76,0.11746522411128284,0.016841680994368394,0.1,65,0.5131578947368421,0.6,0.06357388316151202
vpt_deep_seed0,busi,drift,0.5,647,76,0.11746522411128284,0.016841680994368394,0.2,130,0.8289473684210527,0.4846153846153846,0.025145067698259187
vpt_deep_seed0,busi,drift,0.5,647,76,0.11746522411128284,0.016841680994368394,0.3,195,0.9078947368421053,0.35384615384615387,0.015486725663716814
vpt_deep_seed0,busi,drift,0.5,647,76,0.11746522411128284,0.016841680994368394,0.5,324,0.9868421052631579,0.23148148148148148,0.0030959752321981426
vpt_deep_seed0,busi,iou_pred,0.5,647,76,0.11746522411128284,0.07972516373759413,0.1,65,0.15789473684210525,0.18461538461538463,0.10996563573883161
vpt_deep_seed0,busi,iou_pred,0.5,647,76,0.11746522411128284,0.07972516373759413,0.2,130,0.3026315789473684,0.17692307692307693,0.10251450676982592
vpt_deep_seed0,busi,iou_pred,0.5,647,76,0.11746522411128284,0.07972516373759413,0.3,195,0.4605263157894737,0.1794871794871795,0.09070796460176991
vpt_deep_seed0,busi,iou_pred,0.5,647,76,0.11746522411128284,0.07972516373759413,0.5,324,0.6710526315789473,0.1574074074074074,0.07739938080495357
vpt_deep_seed0,cbis_ddsm,drift,0.5,362,258,0.712707182320442,0.6483685940071282,0.1,37,0.13953488372093023,0.972972972972973,0.683076923076923
vpt_deep_seed0,cbis_ddsm,drift,0.5,362,258,0.712707182320442,0.6483685940071282,0.2,73,0.2441860465116279,0.863013698630137,0.6747404844290658
vpt_deep_seed0,cbis_ddsm,drift,0.5,362,258,0.712707182320442,0.6483685940071282,0.3,109,0.32945736434108525,0.7798165137614679,0.6837944664031621
vpt_deep_seed0,cbis_ddsm,drift,0.5,362,258,0.712707182320442,0.6483685940071282,0.5,181,0.5232558139534884,0.7458563535911602,0.6795580110497238
vpt_deep_seed0,cbis_ddsm,iou_pred,0.5,362,258,0.712707182320442,0.6225477001253221,0.1,37,0.09689922480620156,0.6756756756756757,0.7169230769230769
vpt_deep_seed0,cbis_ddsm,iou_pred,0.5,362,258,0.712707182320442,0.6225477001253221,0.2,73,0.20930232558139536,0.7397260273972602,0.7058823529411765
vpt_deep_seed0,cbis_ddsm,iou_pred,0.5,362,258,0.712707182320442,0.6225477001253221,0.3,109,0.34108527131782945,0.8073394495412844,0.6719367588932806
vpt_deep_seed0,cbis_ddsm,iou_pred,0.5,362,258,0.712707182320442,0.6225477001253221,0.5,181,0.5193798449612403,0.7403314917127072,0.6850828729281768
vpt_shallow_seed0,busi,drift,0.5,647,72,0.11128284389489954,0.018560371770561194,0.1,65,0.5138888888888888,0.5692307692307692,0.06013745704467354
vpt_shallow_seed0,busi,drift,0.5,647,72,0.11128284389489954,0.018560371770561194,0.2,130,0.8194444444444444,0.45384615384615384,0.025145067698259187
vpt_shallow_seed0,busi,drift,0.5,647,72,0.11128284389489954,0.018560371770561194,0.3,195,0.9166666666666666,0.3384615384615385,0.01327433628318584
vpt_shallow_seed0,busi,drift,0.5,647,72,0.11128284389489954,0.018560371770561194,0.5,324,0.9583333333333334,0.21296296296296297,0.009287925696594427
vpt_shallow_seed0,busi,iou_pred,0.5,647,72,0.11128284389489954,0.1318805927284083,0.1,65,0.19444444444444445,0.2153846153846154,0.09965635738831616
vpt_shallow_seed0,busi,iou_pred,0.5,647,72,0.11128284389489954,0.1318805927284083,0.2,130,0.3055555555555556,0.16923076923076924,0.09671179883945841
vpt_shallow_seed0,busi,iou_pred,0.5,647,72,0.11128284389489954,0.1318805927284083,0.3,195,0.3472222222222222,0.1282051282051282,0.10398230088495575
vpt_shallow_seed0,busi,iou_pred,0.5,647,72,0.11128284389489954,0.1318805927284083,0.5,324,0.4583333333333333,0.10185185185185185,0.12074303405572756
