method,training,dataset,perturb_max_px,dice_mean_seeds,dice_std_seeds,n_seeds,seeds
vpt_shallow,rand100,cbis_ddsm,0,0.2759,0.0383,3,"0,1,2"
vpt_shallow,rand100,cbis_ddsm,20,0.2804,0.0217,3,"0,1,2"
vpt_shallow,rand100,cbis_ddsm,50,0.2574,0.0133,3,"0,1,2"
vpt_shallow,rand100,cbis_ddsm,100,0.1956,0.014,3,"0,1,2"
vpt_shallow,rand100,cbis_ddsm,200,0.1132,0.0061,3,"0,1,2"
vpt_shallow,rand100,isic2018_test,0,0.9303,0.0032,3,"0,1,2"
vpt_shallow,rand100,isic2018_test,20,0.9232,0.0049,3,"0,1,2"
vpt_shallow,rand100,isic2018_test,50,0.9075,0.0071,3,"0,1,2"
vpt_shallow,rand100,isic2018_test,100,0.8725,0.0096,3,"0,1,2"
vpt_shallow,rand100,isic2018_test,200,0.7896,0.0138,3,"0,1,2"
vpt_shallow,rand100,ph2,0,0.9359,0.0033,3,"0,1,2"
vpt_shallow,rand100,ph2,20,0.9286,0.005,3,"0,1,2"
vpt_shallow,rand100,ph2,50,0.9125,0.0071,3,"0,1,2"
vpt_shallow,rand100,ph2,100,0.8736,0.0101,3,"0,1,2"
vpt_shallow,rand100,ph2,200,0.799,0.011,3,"0,1,2"
zero_shot,pm=0,busi,0,0.8234,0.0,3,"0,1,2"
zero_shot,pm=0,busi,20,0.8504,0.0,3,"0,1,2"
zero_shot,pm=0,busi,50,0.8384,0.0,3,"0,1,2"
zero_shot,pm=0,busi,100,0.7579,0.0,3,"0,1,2"
zero_shot,pm=0,busi,200,0.6017,0.0,3,"0,1,2"
zero_shot,pm=0,cbis_ddsm,0,0.6924,0.0,3,"0,1,2"
zero_shot,pm=0,cbis_ddsm,20,0.7483,0.0,3,"0,1,2"
zero_shot,pm=0,cbis_ddsm,50,0.657,0.0,3,"0,1,2"
zero_shot,pm=0,cbis_ddsm,100,0.3905,0.0,3,"0,1,2"
zero_shot,pm=0,cbis_ddsm,200,0.1889,0.0,3,"0,1,2"
zero_shot,pm=0,isic2018_test,0,0.9072,0.0,3,"0,1,2"
zero_shot,pm=0,isic2018_test,20,0.9206,0.0,3,"0,1,2"
zero_shot,pm=0,isic2018_test,50,0.9144,0.0,3,"0,1,2"
zero_shot,pm=0,isic2018_test,100,0.8708,0.0,3,"0,1,2"
zero_shot,pm=0,isic2018_test,200,0.7673,0.0,3,"0,1,2"
zero_shot,pm=0,ph2,0,0.9054,0.0,3,"0,1,2"
zero_shot,pm=0,ph2,20,0.915,0.0,3,"0,1,2"
zero_shot,pm=0,ph2,50,0.9107,0.0,3,"0,1,2"
zero_shot,pm=0,ph2,100,0.8756,0.0,3,"0,1,2"
zero_shot,pm=0,ph2,200,0.7986,0.0,3,"0,1,2"
zero_shot,pm=20,busi,0,0.8234,0.0,3,"0,1,2"
zero_shot,pm=20,busi,20,0.8504,0.0,3,"0,1,2"
zero_shot,pm=20,busi,50,0.8384,0.0,3,"0,1,2"
zero_shot,pm=20,busi,100,0.7579,0.0,3,"0,1,2"
zero_shot,pm=20,busi,200,0.6017,0.0,3,"0,1,2"
zero_shot,pm=20,cbis_ddsm,0,0.6924,0.0,3,"0,1,2"
zero_shot,pm=20,cbis_ddsm,20,0.7483,0.0,3,"0,1,2"
zero_shot,pm=20,cbis_ddsm,50,0.657,0.0,3,"0,1,2"
zero_shot,pm=20,cbis_ddsm,100,0.3905,0.0,3,"0,1,2"
zero_shot,pm=20,cbis_ddsm,200,0.1889,0.0,3,"0,1,2"
zero_shot,pm=20,isic2018_test,0,0.9072,0.0,3,"0,1,2"
zero_shot,pm=20,isic2018_test,20,0.9206,0.0,3,"0,1,2"
zero_shot,pm=20,isic2018_test,50,0.9144,0.0,3,"0,1,2"
zero_shot,pm=20,isic2018_test,100,0.8708,0.0,3,"0,1,2"
zero_shot,pm=20,isic2018_test,200,0.7673,0.0,3,"0,1,2"
zero_shot,pm=20,ph2,0,0.9054,0.0,3,"0,1,2"
zero_shot,pm=20,ph2,20,0.915,0.0,3,"0,1,2"
zero_shot,pm=20,ph2,50,0.9107,0.0,3,"0,1,2"
zero_shot,pm=20,ph2,100,0.8756,0.0,3,"0,1,2"
zero_shot,pm=20,ph2,200,0.7986,0.0,3,"0,1,2"
zero_shot,rand100,busi,0,0.8234,0.0,3,"0,1,2"
zero_shot,rand100,busi,20,0.8504,0.0,3,"0,1,2"
zero_shot,rand100,busi,50,0.8384,0.0,3,"0,1,2"
zero_shot,rand100,busi,100,0.7579,0.0,3,"0,1,2"
zero_shot,rand100,busi,200,0.6017,0.0,3,"0,1,2"
zero_shot,rand100,cbis_ddsm,0,0.6924,0.0,3,"0,1,2"
zero_shot,rand100,cbis_ddsm,20,0.7483,0.0,3,"0,1,2"
zero_shot,rand100,cbis_ddsm,50,0.657,0.0,3,"0,1,2"
zero_shot,rand100,cbis_ddsm,100,0.3905,0.0,3,"0,1,2"
zero_shot,rand100,cbis_ddsm,200,0.1889,0.0,3,"0,1,2"
zero_shot,rand100,isic2018_test,0,0.9072,0.0,3,"0,1,2"
zero_shot,rand100,isic2018_test,20,0.9206,0.0,3,"0,1,2"
zero_shot,rand100,isic2018_test,50,0.9144,0.0,3,"0,1,2"
zero_shot,rand100,isic2018_test,100,0.8708,0.0,3,"0,1,2"
zero_shot,rand100,isic2018_test,200,0.7673,0.0,3,"0,1,2"
zero_shot,rand100,ph2,0,0.9054,0.0,3,"0,1,2"
zero_shot,rand100,ph2,20,0.915,0.0,3,"0,1,2"
zero_shot,rand100,ph2,50,0.9107,0.0,3,"0,1,2"
zero_shot,rand100,ph2,100,0.8756,0.0,3,"0,1,2"
zero_shot,rand100,ph2,200,0.7986,0.0,3,"0,1,2"
